Quadrant,Ring,Label,Active,Moved,Link
Languages & Frameworks,ADOPT,Python,true,0,https://www.python.org/
Languages & Frameworks,ADOPT,R,true,0,https://www.r-project.org/
Languages & Frameworks,ADOPT,HQL,true,0,https://spark.apache.org/docs/latest/sql-ref.html
Languages & Frameworks,ADOPT,Spark,true,0,https://spark.apache.org/
Languages & Frameworks,TRIAL,Azure Open AI,true,0,https://azure.microsoft.com/en-us/products/ai-services/openai-service
Languages & Frameworks,TRIAL,DBRX,true,0,https://www.databricks.com/blog/introducing-dbrx-new-state-art-open-llm
Languages & Frameworks,ASSESS,Scala,true,0,https://www.scala-lang.org/
Languages & Frameworks,ASSESS,Langchain,true,0,https://www.langchain.com/
Languages & Frameworks,HOLD,Great Expectations,true,-1,https://greatexpectations.io/
Infrastructure & Tools,ADOPT,GitHub,true,0,https://github.com/Glanbia
Infrastructure & Tools,ADOPT,MS Teams,true,0,https://www.microsoft.com/en-ie/microsoft-teams/log-in
Infrastructure & Tools,ADOPT,MS Planner,true,0,https://planner.cloud.microsoft/
Infrastructure & Tools,ADOPT,Fivetran,true,0,https://www.fivetran.com/
Infrastructure & Tools,ADOPT,Azure Data Factory,true,0,https://azure.microsoft.com/en-us/products/data-factory
Infrastructure & Tools,ADOPT,MS Logic Apps,true,1,https://azure.microsoft.com/services/logic-apps
Infrastructure & Tools,ADOPT,Azure Key Vault,true,1,https://azure.microsoft.com/services/key-vault
Infrastructure & Tools,TRIAL,Azure Functions,true,0,https://azure.microsoft.com/services/functions
Infrastructure & Tools,HOLD,Azure Machine Learning,true,1,https://azure.microsoft.com/services/machine-learning-services
Infrastructure & Tools,TRIAL,Azure Devops,true,0,https://azure.microsoft.com/en-us/products/devops
Infrastructure & Tools,ADOPT,MS PowerAutomate,true,1,https://powerautomate.microsoft.com/en-us/
Infrastructure & Tools,TRIAL,Azure Document Intelligence,true,0,https://azure.microsoft.com/en-us/products/ai-services/ai-document-intelligence
Infrastructure & Tools,TRIAL,Gradio,true,0,https://www.gradio.app/
Infrastructure & Tools,TRIAL,FastAPI,true,0,https://fastapi.tiangolo.com/
Infrastructure & Tools,ASSESS,OpenTelemetry,true,0,https://opentelemetry.io/
Infrastructure & Tools,ASSESS,Streamlit,true,0,https://streamlit.io/
Infrastructure & Tools,ADOPT,Databricks Apps,true,1,https://www.databricks.com/product/databricks-apps
Datastores,ADOPT,Azure Blob storage,true,0,https://azure.microsoft.com/services/storage/blobs
Datastores,ADOPT,Databricks SQL,true,0,https://www.databricks.com/product/databricks-sql
Datastores,ADOPT,MS SharePoint,true,0,https://www.microsoft.com/en-us/microsoft-365/sharepoint/collaboration
Datastores,ADOPT,Azure AI Search,true,0,https://learn.microsoft.com/en-us/azure/search
Datastores,ADOPT,Azure SQL Database,true,1,https://azure.microsoft.com/services/sql-database
Datastores,TRIAL,ChromaDB,true,0,https://www.trychroma.com
Datastores,ASSESS,Azure File Sync,true,0,https://learn.microsoft.com/en-us/azure/storage/files/storage-sync-files-planning
Data Management,ADOPT,Databricks,true,0,https://www.databricks.com/
Data Management,ADOPT,Tableau,true,0,https://www.tableau.com/
Data Management,HOLD,Azure Purview,true,1,https://azure.microsoft.com/en-us/products/purview
Data Management,ADOPT,Unity Catalog,true,1,https://www.databricks.com/product/unity-catalog
Data Management,TRIAL,Azure AI Foundry,true,1,https://learn.microsoft.com/en-us/azure/ai-foundry/what-is-ai-foundry
Data Management,TRIAL,Alteryx,true,0,https://www.alteryx.com/alteryx-analytics-automation-platform
Data Management,ASSESS,Power BI,true,0,https://powerbi.microsoft.com/
Data Management,TRIAL,Databricks AI/BI,true,1,https://www.databricks.com/product/business-intelligence
Data Management,ASSESS,Azure Data Explorer,true,0,https://azure.microsoft.com/services/data-explorer
Data Management,ASSESS,Azure Data Catalog,true,0,https://azure.microsoft.com/en-us/products/data-catalog
